data,variable,num_of_nodes,num_of_edges
Contact,3,213,11419
Contact,4,207,11043
Contact,5,191,9996
Contact,6,158,7750
Contact,7,65,2119
Congress,3,1694,83072
Congress,4,1690,83056
Congress,5,1684,83040
Congress,6,1680,83032
Congress,7,1678,83028
Meetup,3,174,333
Meetup,4,124,206
Meetup,5,103,154
Meetup,6,100,143
Meetup,7,83,72
Enron,3,296,1432
Enron,4,268,1273
Enron,5,265,1253
Enron,6,222,1040
Enron,7,210,972
Trivago,3,131,2816
Trivago,4,84,2193
Trivago,5,64,1903
Trivago,6,53,1672
Trivago,7,49,1539
History,3,136,224
History,4,82,119
History,5,64,92
History,6,58,79
History,7,58,79
DBLP,3,4186,12533
DBLP,4,1136,3028
DBLP,5,475,1137
DBLP,6,294,614
DBLP,7,190,370
